SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-2-2023,Condo/Co-op,35 Leucadia #77,Irvine,CA,92602,989900,3,2,NK - Northpark,1567,,2001,,632,379,Sold,,,https://www.redfin.com/CA/Irvine/35-Leucadia-92602/unit-77/home/5894943,CRMLS,PW23120709,N,Y,33.7190517,-117.7781498
PAST SALE,July-24-2023,Condo/Co-op,74 Modesto,Irvine,CA,92602,1095000,3,3,NK - Northpark,1455,,2001,,753,455,Sold,,,https://www.redfin.com/CA/Irvine/74-Modesto-92602/home/185780261,CRMLS,OC23106702,N,Y,33.7343107,-117.769355
PAST SALE,June-27-2023,Condo/Co-op,11 Cresthaven #45,Irvine,CA,92604,1035000,3,2.5,WB - Woodbridge,1399,,1978,,740,460,Sold,,,https://www.redfin.com/CA/Irvine/11-Cresthaven-92604/unit-45/home/5505092,CRMLS,OC23089758,N,Y,33.6799268,-117.7815958
PAST SALE,June-15-2023,Single Family Residential,64 Walden,Irvine,CA,92620,2400000,4,4.5,STG - Stonegate,3167,4310,2015,,758,147,Sold,,,https://www.redfin.com/CA/Irvine/64-Walden-92620/home/58556167,CRMLS,WS23084341,N,Y,33.7132361,-117.74185
PAST SALE,July-25-2023,Condo/Co-op,53 Granite,Irvine,CA,92620,938000,2,2,CV - Cypress Village,1182,2000,2015,,794,355,Sold,,,https://www.redfin.com/CA/Irvine/53-Granite-Path-92620/home/143910409,CRMLS,OC23112716,N,Y,33.6823783,-117.7546712
PAST SALE,July-6-2023,Single Family Residential,11 Rossano,Irvine,CA,92620,938000,2,2.5,NW - Northwood,1425,2310,1983,,658,134,Sold,,,https://www.redfin.com/CA/Irvine/11-Rossano-92620/home/4778068,CRMLS,CV23087749,N,Y,33.7159302,-117.7751993
PAST SALE,July-12-2023,Single Family Residential,14961 Greenbrae St,Irvine,CA,92604,1150000,4,2.5,EC - El Camino Real,1812,5100,1974,,635,80,Sold,,,https://www.redfin.com/CA/Irvine/14961-Greenbrae-St-92604/home/4673954,CRMLS,PW23103728,N,Y,33.6956684,-117.7871533
PAST SALE,August-4-2023,Condo/Co-op,89 Talmadge #64,Irvine,CA,92602,1420000,3,2.5,NK - Northpark,1592,4000,2002,,892,410,Sold,,,https://www.redfin.com/CA/Irvine/89-Talmadge-92602/unit-64/home/5919141,CRMLS,OC23115346,N,Y,33.7376684,-117.7682892
PAST SALE,June-26-2023,Townhouse,246 Merit,Irvine,CA,92618,1120000,2,2.5,GP - Great Park,1651,14875,2022,,678,489,Sold,,,https://www.redfin.com/CA/Irvine/246-Merit-92618/home/181370812,CRMLS,OC23093708,N,Y,33.6698222,-117.7182807
PAST SALE,July-3-2023,Single Family Residential,11 Vispera,Irvine,CA,92620,1475000,3,2,NW - Northwood,1782,5000,1983,,828,230,Sold,,,https://www.redfin.com/CA/Irvine/11-Vispera-92620/home/4788040,CRMLS,OC23099945,N,Y,33.720807,-117.7520233
PAST SALE,May-25-2023,Condo/Co-op,2243 Martin #117,Irvine,CA,92612,820000,2,2,AA - Airport Area,1269,1269,1992,,646,505,Sold,,,https://www.redfin.com/CA/Irvine/2243-Martin-92612/unit-117/home/5554675,CRMLS,OC23056346,N,Y,33.6728182,-117.8592347
PAST SALE,August-1-2023,Single Family Residential,236 Sutters Ml,Irvine,CA,92602,2988000,4,4.5,OH - Orchard Hills,3375,4000,2021,,885,289,Sold,,,https://www.redfin.com/CA/Irvine/236-Sutters-Ml-92602/home/173430707,CRMLS,OC23114548,N,Y,33.746371,-117.7573345
PAST SALE,May-25-2023,Condo/Co-op,3136 Watermarke Pl,Irvine,CA,92612,560000,1,1,AA - Airport Area,648,,2005,,864,456,Sold,,,https://www.redfin.com/CA/Irvine/3136-Watermarke-Pl-92612/home/5980231,CRMLS,OC23054370,N,Y,33.6661231,-117.8508123
PAST SALE,June-30-2023,Single Family Residential,14882 Waverly Ln,Irvine,CA,92604,1898090,5,4,El Camino Real,3045,6028,1971,,623,,Sold,,,https://www.redfin.com/CA/Irvine/14882-Waverly-Ln-92604/home/4670202,TheMLS,23-267069,N,Y,33.6936818,-117.7822069
PAST SALE,June-15-2023,Single Family Residential,8 Deodar,Irvine,CA,92604,1020000,4,2.5,EC - El Camino Real,1642,2110,1976,,621,360,Sold,,,https://www.redfin.com/CA/Irvine/8-Deodar-92604/home/4684160,CRMLS,SC23044755,N,Y,33.6844142,-117.7746286
PAST SALE,June-15-2023,Single Family Residential,6 Hibiscus,Irvine,CA,92620,2760000,5,3,NW - Northwood,3761,7200,2000,,734,200,Sold,,,https://www.redfin.com/CA/Irvine/6-Hibiscus-92620/home/5769791,CRMLS,OC23075272,N,Y,33.723777,-117.747824
PAST SALE,July-14-2023,Single Family Residential,123 Lomita,Irvine,CA,92618,1980000,4,3,IRSP - Irvine Spectrum,2531,2613,2019,,782,215,Sold,,,https://www.redfin.com/CA/Irvine/123-Lomita-92618/home/169485654,CRMLS,TR23094362,N,Y,33.6379909,-117.7433541
PAST SALE,May-25-2023,Condo/Co-op,100 Tritone,Irvine,CA,92602,1749888,3,2.5,OH - Orchard Hills,2190,,2020,,799,299,Sold,,,https://www.redfin.com/CA/Irvine/100-Tritone-92602/home/173441193,CRMLS,PW23054140,N,Y,33.734102,-117.7429457
PAST SALE,August-8-2023,Condo/Co-op,935 Somerville,Irvine,CA,92620,970000,2,2,NW - Northwood,1291,,1999,,751,365,Sold,,,https://www.redfin.com/CA/Irvine/935-Somerville-92620/home/5794184,CRMLS,NP23134778,N,Y,33.7293508,-117.7620315
PAST SALE,July-3-2023,Single Family Residential,13842 Margene Cir,Irvine,CA,92620,1370000,3,2,NW - Northwood,1470,5415,1970,,932,,Sold,,,https://www.redfin.com/CA/Irvine/13842-Margene-Cir-92620/home/4776741,CRMLS,OC23104488,N,Y,33.7098323,-117.7770776
PAST SALE,July-25-2023,Single Family Residential,4 Fortuna W,Irvine,CA,92620,1736600,4,2.5,NW - Northwood,2337,4700,1977,,743,138,Sold,,,https://www.redfin.com/CA/Irvine/4-Fortuna-W-92620/home/4785022,CRMLS,OC23112888,N,Y,33.7200424,-117.7627444
PAST SALE,May-24-2023,Single Family Residential,143 Albero #55,Irvine,CA,92602,2371897,4,3,OH - Orchard Hills,2516,3895,2023,,943,299,Sold,,,https://www.redfin.com/CA/Irvine/143-Albero-92602/unit-55/home/184747664,CRMLS,NP23045624,N,Y,33.751486,-117.75493
PAST SALE,May-24-2023,Condo/Co-op,213 Elkhorn,Irvine,CA,92618,896000,2,2.5,PS - Portola Springs,1304,,2019,,687,365,Sold,,,https://www.redfin.com/CA/Irvine/213-Elkhorn-92618/home/173436242,CRMLS,PW23068585,N,Y,33.6985906,-117.7024448
PAST SALE,May-18-2023,Condo/Co-op,125 Desert Bloom,Irvine,CA,92618,1400000,3,2.5,PS - Portola Springs,1733,,2013,,808,255,Sold,,,https://www.redfin.com/CA/Irvine/125-Desert-Bloom-92618/home/51684095,CRMLS,OC23060603,N,Y,33.6963282,-117.710018
PAST SALE,July-7-2023,Single Family Residential,43 Sandpiper,Irvine,CA,92604,2500000,5,5,WB - Woodbridge,4296,5000,1976,,582,130,Sold,,,https://www.redfin.com/CA/Irvine/43-Sandpiper-92604/home/4688278,CRMLS,DW23110125,N,Y,33.6859652,-117.8000162
PAST SALE,July-25-2023,Single Family Residential,102 Crimson Oak,Irvine,CA,92620,1750000,5,4,CV - Cypress Village,2691,3176,2015,,650,135,Sold,,,https://www.redfin.com/CA/Irvine/102-Crimson-Oak-92620/home/105485869,CRMLS,OC23072970,N,Y,33.6868522,-117.7612283
PAST SALE,June-2-2023,Single Family Residential,8 Tioga Pl,Irvine,CA,92602,1920000,5,3,WI - West Irvine,3748,5252,1998,,512,,Sold,,,https://www.redfin.com/CA/Irvine/8-Tioga-Pl-92602/home/4792160,CRMLS,OC23075356,N,Y,33.7375569,-117.7755731
PAST SALE,May-23-2023,Townhouse,199 Rodeo,Irvine,CA,92602,1400000,3,2.5,OH - Orchard Hills,1772,,2015,,790,405,Sold,,,https://www.redfin.com/CA/Irvine/199-Rodeo-92602/home/112729564,CRMLS,OC23069710,N,Y,33.7371362,-117.750921
PAST SALE,July-12-2023,Single Family Residential,51 Clocktower,Irvine,CA,92620,3000000,5,4.5,WD - Woodbury,4099,6739,2014,,732,140,Sold,,,https://www.redfin.com/CA/Irvine/51-Clocktower-92620/home/40101045,CRMLS,OC23062833,N,Y,33.6922473,-117.7509686
PAST SALE,July-20-2023,Single Family Residential,103 Encantador,Lake Forest,CA,92630,1325000,3,2.5,LN - Lake Forest North,2198,3384,2018,,603,232,Sold,,,https://www.redfin.com/CA/Lake-Forest/103-Encantador-92630/home/143909900,CRMLS,OC23094584,N,Y,33.6687048,-117.6896162
PAST SALE,July-18-2023,Condo/Co-op,1606 Timberwood,Irvine,CA,92620,920000,2,2.5,NW - Northwood,1443,,1999,,638,395,Sold,,,https://www.redfin.com/CA/Irvine/1606-Timberwood-92620/home/5842862,CRMLS,OC23107001,N,Y,33.727654,-117.75285
PAST SALE,August-3-2023,Condo/Co-op,108 Alhambra,Irvine,CA,92620,1470000,3,2.5,WD - Woodbury,1703,,2005,,863,308,Sold,,,https://www.redfin.com/CA/Irvine/108-Alhambra-92620/home/7214623,CRMLS,OC23118182,N,Y,33.69594,-117.7539843
